featureAndLoc	BNLX1_MaleLiver	BNLX2_MaleLiver	BNLX3_MaleLiver	SHRH1_MaleLiver	SHRH5_MaleLiver
mir330-3p|chr1:81358807-81358856	7	46.8	6	19	3
mir3070a-3p,mir3070b-3p|chr6:142871137-142871180	0	0	0	0	0
mir153a-5p,mir153-5p,mir153-1-5p,mir153-2-5p|chr6:154028731-154028774	0	7	2	1	0
mir676-5p|chrX:71080127-71080171	11	38.89	17	27.95	25
mir134-5p|chr6:143046901-143046941	10.94	42.08	20.85	15.85	8.97
mir_chr20_19155|chr20:28414956-28415026	0	0	3	0	1
mir_chr10_4344|chr10:35527826-35527886	0	0	1	6.97	3
mir_chr11_7045|chr11:41866692-41866767	3	10.98	6	10.87	15.98
mir_chr15_11682|chr15:38455655-38455704	1	0	0	3	0
mir702-5p|chr12:24733687-24733745	0	1	1	2	0
mir_chr12_11310|chr12:39764251-39764315	0	2	1	0	0
mir876-5p|chr5:57019591-57019631	0	0	0	0	0
mir_chr18_14228|chr18:3932717-3932781	0	1	0	1	1.04
mir_chr5_25237|chr5:62316278-62316340	9.14	9.98	27.8	23.43	29.81
mir532-5p|chrX:16894983-16895031	2463.97	1871.48	4298.46	9566.93	9567.39
mir431-5p|chr6:142873601-142873658	1	24	16	12	7
mir434-5p,mir3543-5p|chr6:142878449-142878507	77	745.98	79	523.39	79.5
mir_chr11_6794|chr11:76559954-76560026	33.19	67	174.05	98.03	92.21
mir_chr16_12389|chr16:72958129-72958186	0	0	0	0	0
mir_chr4_22935|chr4:4259564-4259626	0	0	0	0	0
mir210-5p,mir3574-5p|chr1:221125946-221126005	9	60	39	90.66	41
mir216a-5p,mir216-5p|chr14:112802261-112802314	2	3	2	1.96	5
mir6953-3p|chr7:117291931-117291964	0	0	0	0	1
mir_chr3_19420|chr3:13948876-13948948	0	0	0	0	0
mir_chr2_24723|chr2:237837827-237837893	2	2	2.96	9.97	5.76
mir_chr11_6770|chr11:73813511-73813599	4.47	74.2	78.09	33.15	24.49
mir_chr1_1194|chr1:200113446-200113509	0	0	0	0	0
mir_chr3_20554|chr3:9275388-9275445	0.93	3.93	1.97	0	3.94
mir_chr7_29592|chr7:117109316-117109373	2	12	2	17	8
mir_chr1_1897|chr1:273487955-273488024	0	0	1	0	0
mir6328-3p,rno-mir-6328-3p|chr20:5491964-5492012	1	20.52	8	10.87	4
mir3594-5p|chr10:108842828-108842860	1	2	1	4	1
mir_chr7_28432|chr7:65014765-65014821	0	0	0	0	0
mir_chr6_39632|chr6:60318206-60318282	205.33	662.44	2814.73	2587.84	653.31
mir_chr1_3951|chr1:272852421-272852485	0	0	0	3	0.5
mir_chr15_16781|chr15:107219664-107219708	7.99	13.73	22.79	0	0
mir690-3p|chr13:57041222-57041245	0	0	0.73	1.07	0.25
mir344e-3p,mir344d-3-3p|chr1:122341839-122341878	0	0	0	0.33	0
mir501-3p,mir3560-3p|chrX:16902986-16903042	0	3	0	4	0
mir124-3p,mir124-1-3p,mir124-2-3p,mir124a-1-3p,mir124-5-3p,mir124-6-3p|chr15:51712793-51712835	278.75	1683.29	295.33	665.62	85.89
mir224-5p|chr1:147949970-147950011	2	21	11	7	10
mir421-3p|chrX:75245455-75245494	450.65	1005.89	1353.73	2324.55	1352.4
mir1843-3p,mir1843a-3p,rno-mir-1843-3p|chr6:111742575-111742620	34	163.87	92.25	159.95	64.99
mir_chr14_15875|chr14:83031014-83031070	15	36	50	55	64
mir_chr1_1421|chr1:224434116-224434207	0	0	0	0	0
rno-mir-1306-3p,mir1306-3p|chr11:89951609-89951649	0	5.98	2.37	2.96	0
mir3557-3p|chr18:55956696-55956752	278.93	2016.33	819.17	1467.8	466.77
mir_chr3_20839|chr3:57884531-57884589	0	0.69	0	0	0
mir150-3p|chr1:102181526-102181568	11.96	43.8	28.64	20.02	34.8
mir_chr1_3498|chr1:226373716-226373770	0	0	0	0	1.99
mir181d-5p|chr19:36267192-36267233	701.03	1566.15	1874.59	1455.85	1109.32
mir760-3p|chr2:243908734-243908793	1	8.99	1	2.98	0
mir_chr17_14188|chr17:91560391-91560447	1	7	2	4	3
mir292b-3p,mir292-3p|chr1:63524480-63524521	2	17	18	44	7
mir193b-5p,mir193-5p|chr14:30144317-30144356	3	7.66	0	2.69	1
mir_chr2_17338|chr2:45334341-45334391	0	2625.6	11.07	0	0
mir342-3p|chr6:141731294-141731343	106	473	155	944	379.94
mir_chr5_25001|chr5:174763953-174764014	1	2	2	1	2
mir24a-3-3p,mir24-1-3p,mir24a-3p,mir24b-3p,mir24-3-3p,mir3074-1-3p,mir3074-3p,mir24a-1-3p|chr17:816752-816810	40.98	130.01	140.98	108.98	123.36
mir_chr14_10637|chr14:80370220-80370277	0	0	0	1	0.86
rno-mir-1839-3p,mir1839-3p|chr1:144303982-144304022	1	73.9	17	71.9	16.62
mir29b-2-3p,mir29b-3p,mir29b2-3p|chr13:118329491-118329533	313.48	1193.26	1057.59	842.09	1553.47
mir3068-3p,rno-mir-3068-3p|chr6:120749444-120749483	324.71	1012.75	1244.07	983.92	1277.77
mir_chr4_23770|chr4:224876391-224876450	0	0	0	3	1
mir340-5p,rno-mir-340-5p|chr10:35327185-35327234	2159.21	6578.65	8527.33	12948.26	13345.17
mir675-3p|chr1:222640799-222640841	0	1	1.99	0	0
mir_chr5_24242|chr5:63397175-63397226	0	1	0	0.92	4
